GlobalID,system_type,survey_year,native_cover,native_indicators,plant_community,state,state_daren,state_condensed
81effb2c-cba0-4340-8508-431975332bd9,upland_grassland,2013,N50,I1,Herb,13,12,8
0e87f58d-75ac-490b-9469-1f266ff12973,upland_grassland,2016,N75,I1,Shrub,16,17,11
887c5f1f-ec85-43f1-8396-0ce15a10c41e,upland_grassland,2009,N50,I0,Herb,12,10,6
3e65ae7e-d521-4d3e-ab38-9ed2b9ad5a7f,not_recorded,2019,N50,I0,Herb,12,10,6
e2064b01-0d93-4bd0-b7f9-b26dbc3add41,upland_grassland,2010,N25,I1,Herb,8,8,8
c88db105-f056-4c05-a10f-70cf633577aa,lowland_grassland,2013,N50,I0,Shrub,9,9,5
0abd03cb-597b-46de-9beb-aaa29fe962ee,upland_grassland,2016,N50,I0,Shrub,9,9,5
1e087fbb-f60e-404c-9880-99ee905d96f3,upland_grassland,2009,N25,I0,Herb,7,6,6
4714c8e1-53b8-4b5d-ba8f-d14299160180,not_recorded,2019,N75,I0,Herb,18,16,10
af165d7e-d928-4481-bcfb-a60a43c10cdd,upland_grassland,2010,N50,I1,Herb,13,12,8
3c6ed3c3-a4ac-414f-aace-4e42d126068c,not_recorded,2013,N75,I1,Shrub,16,17,11
2dc35698-03dd-4946-a8d5-08f0f9277cb3,upland_grassland,2016,N50,I0,Shrub,9,9,5
e316616d-c76f-4c86-85a4-2f7e8e3213a3,wet_meadow,2009,N75,,Shrub,,,
db6b02fe-bccf-4621-9544-6cb704744bd0,not_recorded,2019,N75,,Shrub,,,
6f4ab7e8-9b12-4430-a71b-2571f0f25893,wet_meadow,2010,N75,,Herb,,,
c1a8ced2-2da6-4660-8783-d120674acc68,upland_grassland,2013,N25,I0,Herb,7,6,6
df7c9008-0be4-40ac-bb63-0ef85bb0c898,wet_meadow,2016,N75,,Shrub,,,
9115eac5-831f-478d-8240-d5ac9540df67,upland_grassland,2009,N0,,Herb,,,
70946ce3-edaa-47f7-b955-00104a54bef5,not_recorded,2019,N0,,Herb,,,
137ecf4d-ad99-423c-adc1-c26e326fbb9c,upland_grassland,2010,N0,,Herb,,,
81a90551-d3bd-47d9-8cc9-5d24a84fcf99,upland_grassland,2013,N0,,Herb,,,
d85e3408-cfe2-46ba-92f5-d06f456eb88d,upland_grassland,2016,N0,,Herb,,,
95bef7f0-1477-44ac-9e13-946923be1be5,wet_meadow,2009,N25,I0,Shrub,5,5,5
1457caa8-5822-4a55-977a-eeec03e35c28,not_recorded,2019,N75,I0,Shrub,15,15,9
eb556c68-2833-4c14-a436-ebd0d851cdae,wet_meadow,2010,N50,I0,Herb,12,10,6
61f8312b-0364-4596-9373-a172f4ea4e88,wet_meadow,2013,N50,I1,Shrub,10,11,7
935aeba2-42e7-4d74-a253-64d830ef2138,wet_meadow,2016,,,,,,
2538303e-a5c5-4c81-be43-7fc56a117b7a,upland_grassland,2009,N50,I1,Herb,13,12,8
de837530-9ed3-4d94-b37b-eded9c868251,not_recorded,2019,N0,I1,Herb,4,4,3
94f59760-0b30-4cc9-8b82-8fca532061f0,upland_grassland,2010,N0,I1,Herb,4,4,3
849b90f9-d0e9-4739-b8b3-5becc54d5c27,upland_grassland,2013,N0,I1,Shrub,2,3,4
0a280a37-8f4d-4ea1-940c-0047bbac50d5,upland_grassland,2016,N0,I1,Shrub,2,3,4
6218b3c1-38a3-431c-ac62-8a6c2a2766b5,lowland_grassland,2009,N50,I1,Herb,13,12,8
f7ef69e7-f0e7-4dab-80f6-f61e1831a342,not_recorded,2019,N50,I1,Herb,13,12,8
01f8468d-c9fe-421f-aca3-ab8bb95681ad,lowland_grassland,2010,N50,I0,Herb,12,10,6
555a673c-2f86-4fe8-ab8f-663a72127e0d,not_recorded,2013,N75,I0,Shrub,15,15,9
1aae7389-daa9-4193-856d-4514c6cfc8d0,lowland_grassland,2016,N50,I1,Shrub,10,11,7
9d696b38-ed81-41c1-832b-de2a6fcd20ef,upland_grassland,2009,,,,,,
71bef523-6461-46e8-8dc8-5e2cd581ca5d,not_recorded,2019,N75,I1,Herb,19,18,12
39f667b9-73af-48e5-9299-63b0e386534d,upland_grassland,2010,N50,I1,Herb,13,12,8
b096cbb0-ddc6-4235-a7e1-30604521b152,not_recorded,2013,N50,I1,Herb,13,12,8
43582d95-e3c1-4bea-b9a0-d6436db8f5ea,upland_grassland,2016,N50,I1,Herb,13,12,8
1371b70e-7016-4579-9a5d-d97245d4ea79,upland_grassland,2009,N25,I1,Herb,8,8,8
9f033494-4303-4570-b2cd-fbfbbf557a4e,not_recorded,2019,N75,I0,Herb,18,16,10
bb72152b-b583-4710-ad73-41bc003f6c22,upland_grassland,2010,N25,I1,Herb,8,8,8
15653c3f-ccf0-414a-a532-b7da08d77b67,lowland_grassland,2013,N50,I1,Shrub,10,11,7
97757254-4663-4413-b76e-9066c2b94728,upland_grassland,2016,N75,I1,Shrub,16,17,11
83723a13-3ef9-47d9-ad04-9a74a680bfeb,upland_grassland,2009,N0,I1,Herb,4,4,3
2c29391a-4111-422c-9d34-a90ded9f3a42,not_recorded,2019,N75,I0,Herb,18,16,10
ba0f324a-b25f-4443-ba0c-9f44fad2edc7,upland_grassland,2010,N25,I0,Herb,7,6,6
91082548-b9fb-463f-a73d-ee790ea91113,lowland_grassland,2013,N75,I1,Herb,19,18,12
ac338606-3b3e-4c28-8584-9d5331f356b2,upland_grassland,2016,N50,I1,Herb,13,12,8
c6825790-4e64-4249-b161-b83e1e649978,lowland_grassland,2009,N50,I1,Herb,13,12,8
0bf35de9-c4aa-40ad-8af0-071c240da30c,not_recorded,2019,N75,I1,Herb,19,18,12
7bb3308d-67f3-4ee4-bf81-6c262c050cbf,lowland_grassland,2010,N25,I1,Herb,8,8,8
5d2b2fd2-61f5-4046-ba44-88f5f0c8b2c6,not_recorded,2013,N75,I0,Herb,18,16,10
fa342bfe-165c-400e-8808-43b3729872cb,lowland_grassland,2016,N75,I0,Herb,18,16,10
93e2baee-0f69-4e61-a8e3-7fdec4e9d2f8,upland_grassland,2009,N0,,Herb,,,
6ba15eb3-208d-4994-a9f5-9a9749472cc7,not_recorded,2019,N0,,Herb,,,
1f655d9a-f6e2-4e63-b96c-45e4b553fa01,upland_grassland,2010,N0,,Herb,,,
591648f4-bf4f-4245-9cc7-80767bfb5d6c,upland_grassland,2013,N0,,Herb,,,
d27536fd-3ff9-4387-93bf-33eaf6d55c79,upland_grassland,2016,N0,,Herb,,,
7ad86c45-db21-4886-b6eb-611b5e88fbb3,upland_grassland,2009,N50,I0,Herb,12,10,6
41043545-abd0-4919-b453-c8d75c15ac6d,not_recorded,2019,N75,I1,Herb,19,18,12
a5d18c8a-5f4f-436d-86b9-5b90b97ffa53,upland_grassland,2010,N25,I0,Herb,7,6,6
900edee4-bbdd-417f-9e2c-969972419000,upland_grassland,2013,N50,I1,Shrub,10,11,7
5987ec41-934f-4847-abb5-5b3d0b43ef32,upland_grassland,2016,N50,I1,Herb,13,12,8
2135951f-c80b-4421-8423-2450062a4bad,lowland_grassland,2009,N50,I0,Shrub,9,9,5
645740ba-7368-40e7-a4ed-75b3098e37a8,not_recorded,2019,N75,I0,Shrub,15,15,9
cb477e93-259a-44bb-8f01-7e55b646e519,lowland_grassland,2010,N50,I1,Shrub,10,11,7
d6a9ba86-3917-4111-9d1d-6058f3af2c3d,not_recorded,2013,,,,,,
363c80d9-5909-4f00-a9e6-ffbaf2755997,lowland_grassland,2016,N50,I2,Shrub,11,13,7
f95107c4-f6b6-48c0-b443-a45532ff1b92,lowland_grassland,2009,N75,I0,Herb,18,16,10
4293925e-653d-445d-9d19-c6034024d3de,not_recorded,2019,N75,I0,Shrub,15,15,9
8d16234f-af10-49a4-9fa4-3e7d5ad8f526,lowland_grassland,2010,N50,I0,Herb,12,10,6
e62bbee6-0ee4-48e8-b66a-3caea6dbb3a6,lowland_grassland,2013,N50,I0,Shrub,9,9,5
11b50bfb-4167-4d88-97fc-1b374503b073,lowland_grassland,2016,N75,I0,Herb,18,16,10
c23bc326-1ccc-4627-a959-393e1d080b75,lowland_grassland,2009,N50,I0,Herb,12,10,6
7b464c90-ce60-4709-972e-c088cf9d474f,not_recorded,2019,N75,I0,Herb,18,16,10
e715d05b-4d6a-4149-b932-d016cc018000,lowland_grassland,2010,N75,I0,Herb,18,16,10
d2a10676-aeec-414e-862a-41ae372516cb,not_recorded,2013,N75,I1,Herb,19,18,12
41cf9c83-53d9-429f-b372-aaceee2c281d,lowland_grassland,2016,N75,I0,Herb,18,16,10
b443cd18-1dfb-4095-9ad1-2063a322dedb,upland_grassland,2009,N75,I1,Herb,19,18,12
82010a32-68aa-4c79-a5d9-c7bb70764a8a,not_recorded,2019,N50,I1,Shrub,10,11,7
c2b8d8d8-d45e-4231-b62a-76733e4c8a10,upland_grassland,2010,N50,I0,Herb,12,10,6
73f8c2bd-0ef7-486d-994f-8fc6b429188c,upland_grassland,2013,N75,I1,Shrub,16,17,11
6d22130f-302f-4529-a2d9-e2addf434008,upland_grassland,2016,N75,I0,Shrub,15,15,9
2d4f96af-506c-454b-85b6-409b344bda75,upland_grassland,2009,N75,I1,Herb,19,18,12
381e8343-c4c5-4aed-b70a-0601917aeef5,not_recorded,2019,N75,I1,Herb,19,18,12
1b90edf9-ca6e-4b5f-953f-b413ea1ddbd7,upland_grassland,2010,N75,I1,Herb,19,18,12
d9336b1f-0fa9-489c-a9a3-d443de9b3a0a,not_recorded,2013,N75,I1,Herb,19,18,12
5b178066-acc1-4b6e-83f2-949cf7387143,upland_grassland,2016,N50,I1,Herb,13,12,8
4a34efbe-9ac6-4c80-a25f-3fb42985f7a7,upland_grassland,2009,N25,I0,Herb,7,6,6
4ffa5220-ba64-46cb-92ba-01d0e53ee4e3,not_recorded,2019,N25,I0,Shrub,5,5,5
0c06ca41-752d-449c-aaf0-3073726d9181,upland_grassland,2010,N25,I1,Herb,8,8,8
1d14fe3f-65a8-4ba0-8158-0bbd8aadf45c,upland_grassland,2013,N50,,Herb,,,
61519117-3493-4974-8f47-1b2a37ba2259,upland_grassland,2016,N50,,Herb,,,
72f1f28a-a1fc-4d94-a0bd-390397aa48e2,lowland_grassland,2009,N50,,Herb,,,
64808b07-f5cf-48c0-b944-f0a1b06588fd,not_recorded,2019,N75,I0,Herb,18,16,10
d738c314-55cf-4325-958c-b29ac7c4d9a1,lowland_grassland,2010,N50,I1,Herb,13,12,8
fe374da4-2bf1-43c3-ad89-0f0d062af3e5,not_recorded,2013,N50,I0,Herb,12,10,6
f8dad824-76b4-4b87-92fc-d89e994f893d,lowland_grassland,2016,N75,,Herb,,,
c44bbfff-3872-4f2f-89a7-c5a0b2b599c7,upland_grassland,2009,N75,I1,Herb,19,18,12
0b566b71-9437-42a8-8a9d-0cb958e62cae,not_recorded,2019,N75,I1,Herb,19,18,12
137b37a5-3a71-4ba1-bda6-84eb18ed1351,upland_grassland,2010,N25,I1,Herb,8,8,8
4cea0866-436e-4a59-b845-79c33586e0cf,not_recorded,2013,N75,I1,Herb,19,18,12
a07f6168-250a-4aaf-90c0-2e8508bc247f,upland_grassland,2016,,,,,,
fdcc29ca-0656-403f-8c6f-109d1e04f536,lowland_grassland,2009,N75,I0,Herb,18,16,10
329951db-dab9-4975-b3c4-8fe49c8fd5de,not_recorded,2019,N50,I0,Herb,12,10,6
711cbf7d-4161-4984-89ce-074af6d3299b,lowland_grassland,2010,N50,I1,Herb,13,12,8
b69a0cb3-ad07-4ce7-8dd6-9666abe9427d,wet_meadow,2013,N75,I1,Shrub,16,17,11
cb4f2127-faf5-47cf-b20c-44b0c28aac6a,lowland_grassland,2016,N50,,Herb,,,
7964a8f2-c35e-4f4b-929e-5d9ebbcab3e1,upland_grassland,2009,N50,I1,Herb,13,12,8
9cb27e68-356f-4807-bd03-0be8b48211ba,not_recorded,2019,N75,I2,Herb,20,20,12
fed54f4c-0008-4b17-8b4e-4851bfbda757,upland_grassland,2010,N75,I2,Herb,20,20,12
3d08e1bc-5d3c-42f2-8d1c-45f624de466b,not_recorded,2013,N75,I2,Herb,20,20,12
6dfe97ec-f459-4f2d-b16e-2e527ef9ea2d,upland_grassland,2016,N50,I2,Herb,14,14,8
b0d9ea70-cd74-42f9-a3ee-f4e5debfd29e,upland_grassland,2009,N25,I0,Herb,7,6,6
449c1c68-99aa-4235-8cc1-1b7116675699,not_recorded,2019,N50,I1,Herb,13,12,8
22d196aa-7335-4408-9b55-30b5c66aaad7,upland_grassland,2010,N25,I0,Herb,7,6,6
25e6e53b-271b-4d50-823d-1a84b5bfb7cc,lowland_grassland,2013,N50,I2,Shrub,11,13,7
767dc506-825a-4d50-ab16-301e54f22a45,upland_grassland,2016,N50,I0,Shrub,9,9,5
716b81bd-1088-4a13-af17-58bf0720e76d,upland_grassland,2009,N0,,Herb,,,
a2e9b244-4d23-41ec-94a5-6d7dfd4cb8a3,upland_grassland,2011,N25,I0,Herb,7,6,6
f0bfd354-5231-47c7-9be0-19c31513e67e,upland_grassland,2014,N25,,Herb,,,
96b4545a-ed6a-438f-8e21-44e5025f49b2,upland_grassland,2017,N25,I0,Herb,7,6,6
e3b9fb25-1df7-469d-b667-9f8af5e829bd,upland_grassland,2009,N0,I0,Herb,3,2,2
db9ac105-111f-4467-a4bd-a38aa2302199,upland_grassland,2011,N0,I0,Herb,3,2,2
588187c8-b09b-47e2-b100-702541201790,upland_grassland,2014,N0,I0,Herb,3,2,2
a47d150e-7a8f-4610-88c1-da70f56aec49,upland_grassland,2017,N0,,Herb,,,
17b6d3eb-500d-41f7-9cd5-5fec1c399791,upland_grassland,2009,N0,,Herb,,,
5a80d3ed-e1cc-4e5d-ac3b-e4de06dbfbfa,upland_grassland,2011,N50,,Herb,,,
9369ff3c-8aee-423b-a4d2-c194a97a5cdc,upland_grassland,2014,N25,,Herb,,,
6ee9956a-467f-468d-b591-10f55b112f0d,lowland_grassland,2017,N25,,Herb,,,
d1087385-4e4d-4c08-b47b-30088ab5cd07,upland_grassland,2009,N50,I2,Herb,14,14,8
deef5f96-59ea-4fbd-a749-3c0f9f04fcbe,upland_grassland,2011,N75,I1,Herb,19,18,12
bfed32bd-10ec-4d14-8d3d-fad23df80ecc,upland_grassland,2014,N75,I0,Herb,18,16,10
e6362ecc-4242-4b3d-a567-8f1374001c57,upland_grassland,2017,N75,I1,Herb,19,18,12
b885bc13-a19b-49c2-bbc0-355705939b56,upland_grassland,2009,N0,,Herb,,,
b1528119-c533-433b-a239-e24c7c0da9ca,upland_grassland,2011,N50,I1,Herb,13,12,8
eb312ca5-7e5a-4624-ad65-73d4a88adbd9,upland_grassland,2014,N50,I1,Herb,13,12,8
069bbc09-6172-4157-8ccc-5713133c404e,upland_grassland,2017,N50,I2,Herb,14,14,8
a816cf8f-8279-4aeb-afc2-19b48511ecbe,upland_grassland,2009,,,,,,
dbda4561-f386-40ef-b2c7-9d08023b2021,upland_grassland,2011,N75,I1,Herb,19,18,12
d661e236-ae96-439d-a3fb-e1c9dd45e450,upland_grassland,2014,N75,I1,Herb,19,18,12
cc06c73d-7990-4ccb-85e8-f3628238d7f7,upland_grassland,2017,N75,I2,Shrub,17,19,11
b7976d20-b3c6-452f-91ea-60165ef4f62e,upland_grassland,2009,N25,I2,Herb,8,8,8
244111b6-da5d-4b9e-b3f4-18182599870d,upland_grassland,2011,N50,I2,Herb,14,14,8
c53b18ce-1376-43cd-baa4-2492979ec590,upland_grassland,2014,N50,I2,Herb,14,14,8
910597cd-6f99-4135-873d-9f95390c4dd4,upland_grassland,2017,N50,I2,Herb,14,14,8
b2706beb-9bac-4193-b192-d544462193a1,upland_grassland,2009,N25,I0,Herb,7,6,6
fe136cf2-eb68-4788-995a-17a8143ac98c,upland_grassland,2011,N25,I2,Herb,8,8,8
7a75cabd-7363-4e39-a011-1b0030dd01b3,upland_grassland,2014,N50,I1,Herb,13,12,8
00fdde70-2d11-4222-8753-761c9fc391c9,upland_grassland,2017,,,,,,
9eddf9e2-6bba-4c90-b670-0463c55bd1fd,upland_grassland,2009,N50,I2,Herb,14,14,8
01112ef0-0204-4954-b621-a485b326b1ab,upland_grassland,2011,N75,I2,Herb,20,20,12
9ad37fb9-1938-47e3-9054-711ef335b996,upland_grassland,2014,N50,I1,Herb,13,12,8
34521473-6f7e-4622-897b-33333ab44991,upland_grassland,2017,N50,I2,Herb,14,14,8
b8056af0-ef8a-4203-afca-fdd34333b182,lowland_grassland,2009,N25,I1,Herb,8,8,8
4a3f53bf-8cb4-434e-8f5e-2543fb6dbdc9,upland_grassland,2018,N75,I0,Herb,18,16,10
4204876d-638a-4313-b84b-43042c6403ff,upland_grassland,2009,N25,,Herb,,,
c0736887-5c6e-4f5a-9d65-3be532cc9d86,upland_grassland,2012,N25,,Herb,,,
5b0bbb3f-034e-4ba2-bd86-42e52fbbc1e2,lowland_grassland,2014,N25,,Herb,,,
36929078-c5bf-4963-8feb-3b68e448424a,upland_grassland,2015,N50,,Herb,,,
953cc376-e84f-47dc-8faa-71eef5979556,upland_grassland,2018,N0,,Herb,,,
acf5927b-813c-467b-8022-1442bb9cffad,upland_grassland,2009,N0,,Herb,,,
851e909a-f11d-4dec-9563-57f9cee0b6dc,upland_grassland,2012,N25,,Herb,,,
d0ad3801-1779-4893-961f-01727b7c9e4f,upland_grassland,2014,N0,,Herb,,,
60b78ed5-bbc0-48a8-a9ff-2a8d17815c1f,upland_grassland,2015,N25,,Herb,,,
0c198afe-6fc2-485d-b58a-78ce60cc4487,upland_grassland,2018,N0,,Herb,,,
0ce73cdf-b88f-4a55-8f4f-6914d617216b,upland_grassland,2009,N25,,Herb,,,
9a37c86e-5584-4ba9-9580-3b48ea28cb31,upland_grassland,2012,N25,,Herb,,,
784eae91-da4b-4995-8ad1-e85fb899c8d2,upland_grassland,2014,N25,,Herb,,,
8bbba4c4-3d7a-481c-bc3d-05ba8c051813,upland_grassland,2015,N25,,Herb,,,
6f57107b-a565-4d83-bbf9-cb4d746ebaa1,upland_grassland,2018,N0,,Herb,,,
e014f87f-9831-48fb-8353-17d288222c4b,upland_grassland,2009,N25,,Herb,,,
ae6b0829-3a1f-49ce-8c2c-883d20032749,upland_grassland,2012,N25,,Herb,,,
a54a6927-4747-4621-9eca-50e5a3f03f57,lowland_grassland,2014,N50,,Herb,,,
5af2d63d-5de7-439d-a511-c775d0afc96e,lowland_grassland,2015,N50,,Herb,,,
07822aa6-fd79-41c4-b25e-a2b68195ea07,upland_grassland,2018,N50,,Herb,,,
9380a2b0-dc75-47e6-9a27-e9e8cb8fadd8,upland_grassland,2009,N25,,Herb,,,
94084040-d1b0-4f2e-8945-dd322359c18a,upland_grassland,2012,N25,,Herb,,,
1a560c68-40b6-4fdc-b07c-6d1800f0a0df,lowland_grassland,2014,N25,,Herb,,,
7f0cdcd9-ce0c-4eac-9039-395102a3011b,upland_grassland,2015,N0,,Herb,,,
b816e329-058f-4d1c-b9c6-060661d667c9,upland_grassland,2018,N0,,Herb,,,
966bfb41-5743-400e-9578-c925008f78b8,upland_grassland,2009,N25,,Herb,,,
932ed477-d04e-4147-8fbb-b357238ed3a6,upland_grassland,2012,N25,,Herb,,,
92a2057f-71bf-41e6-af65-7072ebd77933,lowland_grassland,2014,N25,I0,Herb,7,6,6
da538eb1-b6a3-4b1e-882f-c5be0430657b,not_recorded,2015,N25,,Herb,,,
11290daf-d9bc-460e-ad79-2b489e9d0de8,upland_grassland,2018,,,,,,
a9ebb42b-f3af-4266-ac1b-121e7a35fc2b,upland_grassland,2009,N25,I1,Herb,8,8,8
4c830ca3-613f-40e7-88e3-d36eb79d000c,upland_grassland,2018,N75,I1,Herb,19,18,12
72e00167-55dc-4d09-81af-a30e7f7d2729,lowland_grassland,2009,N50,I0,Herb,12,10,6
1c3cb9e5-7f4e-40a8-af23-58c68e00894a,lowland_grassland,2018,N75,I1,Herb,19,18,12
cd84156f-69db-4062-a948-ac812be6bb46,lowland_grassland,2009,N50,I1,Herb,13,12,8
c472ded7-69e7-46c7-a448-17a5e4e40b26,upland_grassland,2018,N75,I1,Herb,19,18,12
c6170a0c-4748-436c-8bb3-aecff2a8cc65,lowland_grassland,2009,N25,I2,Herb,8,8,8
564bd600-1872-4295-9e8b-889369ed393f,lowland_grassland,2018,N50,I1,Shrub,10,11,7
53130a58-9c2f-4aa0-919f-33ac6243a9a5,lowland_grassland,2009,N75,I1,Herb,19,18,12
a999bc2e-8f18-46d1-9c80-d1af6de07c92,lowland_grassland,2018,N75,I1,Herb,19,18,12
7173d06c-743e-4160-9947-0d82834d4090,lowland_grassland,2009,N50,I0,Herb,12,10,6
b3439271-8d60-4583-9136-39298e750c87,wet_meadow,2018,N75,I1,Herb,19,18,12
d98012ab-6e5c-4d7e-8e2e-374726affa8f,upland_grassland,2009,N0,,Herb,,,
f343e978-c922-4ec6-9952-a0c4ae7ea337,upland_grassland,2009,N25,I0,Herb,7,6,6
77372700-2d8c-4749-976c-b1e4570ab178,upland_grassland,2019,N0,I0,Herb,3,2,2
87041780-fd74-46a9-b23c-a2def5d0f2c9,upland_grassland,2013,N75,I1,Herb,19,18,12
e8883adc-a24a-4949-b50a-77ad3eb5c20a,upland_grassland,2016,N0,I1,Herb,4,4,3
9857a067-a95b-4007-8dd2-9a753c4c58a2,lowland_grassland,2009,N0,,Herb,,,
cd25cb5f-ceca-47e7-9d85-0597bbd67f9e,upland_grassland,2019,N0,,Herb,,,
c00e9935-226f-4c6c-b390-1160bf2e7033,lowland_grassland,2013,N0,,Herb,,,
0a48b18d-80c7-4be0-9207-6bf5562a3e8d,lowland_grassland,2016,N0,,Herb,,,
d83e0e7b-ca3a-476c-8702-73aefc13dd0d,upland_grassland,2009,N0,,Herb,,,
59d0e518-b803-4fa1-9239-fe6b4c6e3e34,upland_grassland,2019,N0,,Herb,,,
69a9d193-d5ad-4042-bf1d-577d2e391554,upland_grassland,2013,N0,,Herb,,,
e42ae4b2-2546-41df-ac7f-5a95465a7390,upland_grassland,2016,N0,,Herb,,,
18bbf539-623c-4b1b-b763-9542e1027950,upland_grassland,2009,N25,,Herb,,,
ad7b14f9-f62b-4205-83a5-4b39cd4c17d9,upland_grassland,2019,N0,,Herb,,,
83c8933f-1541-4650-bb6b-59545f04d0b0,upland_grassland,2013,N25,,Herb,,,
4ad3cade-6dad-4954-923d-e35105b2e31f,upland_grassland,2016,N0,,Herb,,,
8ba2f6f8-1143-4c4a-9fbc-04c405e42a3d,upland_grassland,2009,N0,I0,Herb,3,2,2
37591bf9-a7f4-4428-a2f4-0daf1ceb2576,upland_grassland,2019,N25,I0,Herb,7,6,6
5076a8d8-83ab-4b7f-b8ec-bea217d2639c,upland_grassland,2013,N25,I0,Herb,7,6,6
f8b0b70f-d6a3-4bdc-b578-90b8c136bbe7,upland_grassland,2016,N0,I0,Herb,3,2,2
6b352d73-97af-4d77-b514-f048540a5f36,upland_grassland,2009,N25,,Herb,,,
37831c51-1968-4a79-9132-8c47875f953b,upland_grassland,2019,N0,I0,Herb,3,2,2
cf6607c6-6126-4485-9223-158cae26378b,upland_grassland,2013,N50,,Herb,,,
dcab5d79-90d1-4db7-ba0c-5177a4a0f427,upland_grassland,2016,N0,I0,Herb,3,2,2
2ccd2231-faa1-4333-acc4-b4257473a87c,upland_grassland,2009,N25,I0,Herb,7,6,6
ca54a858-10e4-4936-8aac-981195dc893f,upland_grassland,2019,N25,I0,Herb,7,6,6
e7335203-c050-48d3-8867-01b99d3ed5aa,upland_grassland,2013,N50,I1,Herb,13,12,8
7bae21c3-827b-4b14-9b3e-d86de0cd666f,upland_grassland,2016,N0,I0,Herb,3,2,2
d75f3bd0-c4f6-4f5d-be1e-dab3bb99d9b3,upland_grassland,2009,N0,,Herb,,,
2a4e99bf-9d1d-4c30-9707-e7daa1007f72,upland_grassland,2009,N0,,Herb,,,
